Date,Catégorie,Tâche,Fait ?
01/01/2002,Espagnol,Duolingo,o
01/01/2002,Espagnol,des exercices dele,o
01/01/2002,Espagnol,lu les noticias,o
01/01/2002,Espagnol,des mosalingua spanish,o
01/01/2002,Espagnol,un caféyn vocable,o
01/01/2002,Espagnol,Mondly,o
01/01/2002,Japonais,Kana,o
01/01/2002,Japonais,les drops,o
01/01/2002,Japonais,Japonais,o
01/01/2002,Japonais,katakanapro,o
01/01/2002,Japonais,Minna no Nihongo,o
01/01/2002,Japonais,des devoirs japonais,n
01/01/2002,Python,100 jours de code,n
01/01/2002,Python,Code Academy,n
01/01/2002,Python,Pybites,n
01/01/2002,Python,Datacamp,o
01/01/2002,Python,Kaggle,o
01/01/2002,Python,Repli,o
01/01/2002,Python,Real Python,o
01/01/2002,Python,un projet Python,o
01/01/2002,Sport/Sante,du sport,o
01/01/2002,Sport/Sante,de l'apprentissage,o
01/01/2002,Sport/Sante,des fruits,o
01/01/2002,Sport/Sante,des légumes,o
01/01/2002,Sport/Sante,des protéines,o
01/01/2002,Famille,un truc pour la famille,o
